word,probability
1964,0.00028249570342125957
94,4.086256704212576e-05
2622,1.265094954864575e-07
1965,0.00030008052329387713
60%,6.95802225175516e-05
435,5.566417801404129e-06
350,5.654974448244649e-05
7600,1.2650949548645747e-06
163,1.8090857854563418e-05
417,6.451984269809331e-06
823,1.2650949548645747e-06
445,4.301322846539554e-06
416,5.945946287863501e-06
535,5.439908305917671e-06
5000,3.314548781745186e-05
190,2.4922370610832123e-05
1601,8.349626702106193e-06
253,8.09660771113328e-06
532,5.692927296890587e-06
131,1.1891892575727002e-05
47,8.172513408425152e-05
109,2.20126522146436e-05
240,2.251869019658943e-05
530,6.198965278836416e-06
"54,1%",5.0603798194583e-07
95%,3.3904544790370604e-05
"44,4%",5.0603798194583e-07
97%,9.361702665997853e-06
"95,1%",3.795284864593724e-07
280,1.910293381845508e-05
580,6.0724557833499585e-06
1280,5.186889314944756e-06
115,1.897642432296862e-05
67,5.971248186960793e-05
533,5.819436792377044e-06
4810,8.855664684052023e-07
102,3.352501630391123e-05
{,8.703853289468274e-05
},8.880966583149314e-05
1863,7.641173527382032e-05
1868,6.591144714844434e-05
1875,6.262220026579644e-05
1898,0.00010677401419057011
321,4.554341837512469e-06
324,7.0845317472416184e-06
5338,1.265094954864575e-07
4727,2.53018990972915e-07
611,1.01207596389166e-06
1529,9.99425014343014e-06
2750,1.01207596389166e-06
1781,2.5428408592777953e-05
1805,3.0362278916749795e-05
1569,1.2144911566699917e-05
1640,1.910293381845508e-05
1588,1.2144911566699917e-05
1593,8.982174179538481e-06
1597,9.235193170511395e-06
1621,1.252444005315929e-05
1612,1.2271421062186376e-05
1579,8.349626702106193e-06
1638,1.2777459044132204e-05
1628,1.1259345098294715e-05
1619,9.614721656970769e-06
1611,1.6446234413239472e-05
174,8.223117206619736e-06
214,7.0845317472416184e-06
71,4.40253044292872e-05
56,7.653824476930677e-05
170,3.1627373871614366e-05
542,3.0362278916749793e-06
899,2.403680414242692e-06
1753,1.1259345098294715e-05
1824,4.351926644734137e-05
1854,5.971248186960793e-05
1855,4.870615576228613e-05
1857,5.83208774192569e-05
1827,3.3271997312938316e-05
1831,4.2380680987963256e-05
1838,4.9465212735204874e-05
1839,4.9465212735204874e-05
1844,6.135710531093188e-05
"6,3%",2.909718396188522e-06
1667,1.556066794483427e-05
1689,2.1127085746238397e-05
1696,7.337550738214534e-06
1699,1.0626797620862428e-05
1701,1.505462996288844e-05
1702,9.48821216148431e-06
1706,7.843588720160364e-06
1719,6.578493765295789e-06
1739,8.476136197592651e-06
punk,2.7832089007020645e-06
69,4.895917475325904e-05
1519,1.3283497026078035e-05
1521,1.8090857854563418e-05
1525,1.5307648953861356e-05
1516,1.1891892575727002e-05
1503,1.201840207121346e-05
1517,1.3283497026078035e-05
1514,1.10063261073218e-05
1511,1.2271421062186376e-05
1518,6.831512756268703e-06
1513,1.3156987530591578e-05
1455,5.566417801404129e-06
1520,1.2777459044132204e-05
1522,1.151236408926763e-05
1530,1.1891892575727002e-05
1523,1.0879816611835343e-05
1524,1.201840207121346e-05
1528,9.48821216148431e-06
1527,1.353651601705095e-05
1536,1.594019643129364e-05
1618,9.108683675024938e-06
1537,7.464060233700991e-06
1526,1.5181139458374898e-05
1542,1.2271421062186376e-05
1532,7.97009821564682e-06
1539,9.48821216148431e-06
1531,7.590569729187449e-06
1541,1.859689583650925e-05
1546,1.1638873584754088e-05
1547,1.0500288125375971e-05
1697,1.3283497026078035e-05
1595,9.614721656970769e-06
1613,1.0626797620862428e-05
1596,9.99425014343014e-06
